Node1,Node2,Node3
Floral,Black tea,
,Floral,Chamomile
,,Rose
,,Jasmine
Fruity,Berry,Blackberry
,,Raspberry
,,Blueberry
,,Strawberry
,Dried fruit**,Raisin
,,Prune
,Other fruit**,Coconut
,,Cherry
,,Pomegranate
,,Pineapple
,,Grape
,,Apple
,,Peach
,,Pear
,Citrus fruit,Grapefruit
,,Orange
,,Lemon
,,Lime
Sour/fermented*,Sour,Sour aromatics
,,Acetic acid
,,Butyric acid
,,Isovaleric acid
,,Citric acid
,,Malic acid
,Alcohol/fermented*,Winey
,,Whiskey
,,Fermented
,,Overripe****
Green/vegetative*,Olive oil,
,Raw,
,Green/vegetative*,Under-ripe
,,Peapod
,,Fresh
,,Dark green
,,Vegetative***
,,Hay-like
,,Herb-like
,Beany,
Other**,Papery/musty*,Stale
,,Cardboard
,,Papery
,,Woody
,,Moldy/damp
,,Musty/dusty
,,Musty/earthy
,,Animalic
,,Meaty/brothy**
,,Phenolic
,Chemical,Bitter
,,Salty**
,,Medicinal
,,Petroleum
,,Skunky**
,,Rubber
Roasted,Pipe tobacco,
,Tobacco,
,Burnt,Acrid
,,Ashy
,,Smoky
,,"Brown, roast**"
,Cereal**,Grain
,,Malt
Spices**,Pungent,
,Pepper,
,Brown spice**,Anise****
,,Nutmeg
,,Cinnamon
,,Clove
Nutty/cocoa*,Nutty,Peanuts
,,Hazelnut****
,,Almond
,Cocoa,Chocolate
,,Dark chocolate
Sweet,Brown sugar**,Molasses
,,Maple syrup
,,Caramelized
,,Honey
,Vanilla,
,Vanillin,
,Overall sweet*,
,Sweet aromatics,
